Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:04:25.745,00:04:20.00,1,--,11,0:04:25  ,0:04:20  ,0:03:48  ,167.015625,238.0,135.1851705460211,152.0,168.0,--,67
2,00:04:24.469,00:04:19.00,1,32,28,0:04:24  ,0:04:19  ,0:04:13  ,166.34375,169.0,136.38606491537894,165.0,170.0,--,73
3,00:04:24.450,00:04:22.00,1,--,--,0:04:24  ,0:04:22  ,0:04:23  ,166.75,169.0,136.0635558123281,164.0,168.0,--,72
4,00:04:23.532,00:04:20.00,1,13,9,0:04:23  ,0:04:20  ,0:04:12  ,166.328125,169.0,136.88383978522666,160.0,164.0,--,70
5,00:04:26.36,00:04:24.00,1,--,--,0:04:26  ,0:04:24  ,0:03:59  ,166.734375,172.0,135.26507497463027,163.0,168.0,--,72
6,00:04:17.301,00:04:13.00,1,10,10,0:04:17  ,0:04:13  ,0:04:04  ,168.46875,174.0,138.4173184511132,166.0,175.0,--,71
7,00:04:19.721,00:04:16.00,1,--,--,0:04:19  ,0:04:16  ,0:04:10  ,169.578125,172.0,136.2299847963513,170.0,175.0,--,74
8,00:04:18.872,00:04:18.00,1,--,11,0:04:18  ,0:04:18  ,0:04:04  ,169.703125,172.0,136.57660600969308,168.0,172.0,--,72
9,00:04:20.94,00:04:16.00,1,10,--,0:04:20  ,0:04:16  ,0:04:17  ,169.0625,171.0,136.45003129990198,166.0,172.0,--,72
10,00:04:19.664,00:04:14.00,1,2,--,0:04:19  ,0:04:14  ,0:04:07  ,168.4375,171.0,137.18313333714028,172.0,181.0,--,75
11,00:04:14.23,00:04:13.00,1,5,8,0:04:14  ,0:04:13  ,0:04:01  ,170.640625,174.0,138.41902477126456,179.0,185.0,--,79
12,00:04:13.583,00:04:08.00,1,5,--,0:04:13  ,0:04:08  ,0:03:51  ,170.296875,174.0,138.93908968844744,175.0,181.0,--,75
13,00:04:16.159,00:04:13.00,1,2,13,0:04:16  ,0:04:13  ,0:04:08  ,170.65625,174.0,137.25223930180476,174.0,185.0,--,75
14,00:04:13.25,00:04:11.00,1,--,--,0:04:13  ,0:04:11  ,0:03:52  ,170.890625,174.0,138.7616927661061,174.0,181.0,--,74
15,00:04:11.629,00:04:10.00,1,--,--,0:04:11  ,0:04:10  ,0:03:56  ,171.46875,174.0,139.06107444972972,166.0,172.0,--,68
16,00:00:06.273,00:00:05.00,0.02,--,--,0:04:26  ,0:03:32  ,0:03:59  ,168.671875,169.0,133.4872487015116,165.0,166.0,--,1
Summary,01:04:54.577,01:04:55.00,15.02,77,90,0:04:19  ,0:04:19  ,0:03:48  ,168.796875,238.0,137.1115083566881,168.0,185.0,--,1090
